연번,명칭,높이(m),경도(E),위도(N)
541,지막곡산,297.6,127.117575,36.4197528
542,철마산,345.7,127.1261417,36.4149944
543,달갈봉,362.0,127.2080472,36.4035917
544,안산,243.5,127.2091389,36.4158056
545,며느리봉,179.0,127.2380361,36.4042389
546,매봉산,101.7,127.0126889,36.3995056
547,안산,174.3,127.1108306,36.3797611
548,팔재산,364.3,127.1586667,36.3806139
549,꼬침봉,416.1,127.2271361,36.3891889
550,장구봉,197.1,127.0284056,36.3669333
551,계란봉,133.3,127.0839778,36.3546694
552,안산,148.4,127.1090556,36.3731722
553,안골산,321.8,127.1206111,36.3742889
554,거묵바위산,345.8,127.1295083,36.3649444
555,삼태봉,134.1,127.0094333,36.3414722
556,장군봉,128.0,127.0201667,36.3412722
557,망덕봉,215.0,127.0539139,36.3391583
558,개코빽이산,195.1,127.1065722,36.3406417
559,감바위산,307.5,127.1590583,36.3428278
560,머리봉,735.6,127.2062278,36.3358806
561,제차봉,400.1,127.2235639,36.3285972
562,동제봉,352.5,127.2384806,36.3285111
563,국사봉,449.0,127.2036472,36.3107333
564,노적봉,346.0,127.2118278,36.3079444
565,됨봉,160.4,127.0135722,36.2987583
566,망월산,204.0,127.0066194,36.2828333
567,안산,97.0,127.0459139,36.2971778
568,앞산,125.9,127.09535,36.2850278
569,봉우재산,204.5,127.1182,36.2896556
570,옥리봉,252.0,127.1307972,36.2877194
571,옥재봉,256.8,127.1275556,36.2902639
572,매봉재산,115.2,127.1561056,36.2820139
573,군장산,118.6,127.0043833,36.2641806
574,구병산,876.3,127.8617333,36.4695833
575,봉황산,740.6,127.9399889,36.4636306
576,시루봉,416.9,127.875075,36.4488444
577,태봉산,343.1,127.9466889,36.4440417
578,울미산,450.1,127.8099333,36.4138167
579,천탁산,683.7,127.8953917,36.42495
580,삼승산,576.4,127.7622833,36.3943778
581,시루봉,505.2,127.8446611,36.3991444
582,관모봉,581.5,127.7528333,36.3735611
583,도덕봉,543.4,127.796875,36.3659472
584,팔음산,771.3,127.8913833,36.3597083
585,대가산,445.4,127.9796306,36.3380806
586,천금산,464.9,127.8459556,36.3182889
587,한성봉,933.4,127.9052028,36.3023167
588,천관산,445.1,127.8012444,36.2980306
589,주행봉,871.4,127.888625,36.2809056
590,와곡산,576.5,127.9928861,36.28685
591,지장산,772.4,127.9783222,36.2541806
592,동산,152.3,127.8014167,36.4251778
593,원통산,594.5,127.9625583,36.4173167
594,안심산,429.0,127.9917806,36.3616556
595,갓점봉,507.3,127.9918417,36.3092889
596,마치산,380.1,127.5278361,34.4319972
597,장포산,360.0,127.5066417,34.4249861
598,봉화산,310.3,127.5360806,34.9847444
599,웅방산,311.4,127.5551917,34.9753028
600,내우산,248.5,127.5934722,34.9916139
601,국사봉,531.2,127.6457222,34.9963694
602,봉화산,355.9,127.5059667,34.9717111
603,서산,252.7,127.5668194,34.9726611
604,마로산,209.4,127.6166639,34.9676
605,가야산,496.9,127.6984194,34.964
606,천왕산,228.8,127.7379694,34.974575
607,옥녀봉,120.9,127.5494306,34.925525
608,구봉화산,471.7,127.6424111,34.9367222
609,봉화산,399.4,127.6255639,34.9342667
610,천황산,183.4,127.5352222,34.9062694
611,앵무산,343.1,127.5384417,34.8828694
612,봉화산,246.4,127.7032417,34.8843361
613,국사봉,290.0,127.5766639,34.8571556
614,영취산,509.7,127.71635,34.8294722
615,황새봉,393.7,127.5773167,34.8194972
616,가마봉,366.1,127.60885,34.8174
617,첨산,162.8,127.6568472,34.8219833
